date_id,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E3,E4,E5,E6,E7,E8,E9,I1,I2,I3,I4,I5,I6,I7,I8,I9,M1,M10,M11,M12,M13,M14,M15,M16,M17,M18,M2,M3,M4,M5,M6,M7,M8,M9,P1,P10,P11,P12,P13,P2,P3,P4,P5,P6,P7,P8,P9,S1,S10,S11,S12,S2,S3,S4,S5,S6,S7,S8,S9,V1,V10,V11,V12,V13,V2,V3,V4,V5,V6,V7,V8,V9,forward_returns,risk_free_rate,market_forward_excess_returns
0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002421174,0.000300794,-0.003038479
1,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008494677,0.000302778,-0.009114046
2,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009624478,0.00030119,-0.010242538
3,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004662397,0.000299206,0.004046204
4,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01168577,0.000299206,-0.012300655
5,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006449423,0.000299603,-0.007065934
6,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003644232,0.000297619,0.003029427
7,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024565982,0.000299603,-0.025182811
9016,0,0,0,1,0,0,0,0,0,1.493117336,0.174272487,0.002314815,0.002314815,0.002314815,0.002314815,0.928240741,-0.381781259,-0.49928493,0.087240773,-0.689459716,1.41412844,1.469107809,1.84805508,0.035714286,0.321428571,0.024470899,0.109229323,-0.327450225,0.999669312,0.360780423,0.732658972,0.075066138,0.457010582,0.525397366,0.703703704,0.345238095,0.385582011,0.517769861,-1.226534517,-0.873949487,-0.239594018,0.082393874,-1.163526892,-0.720916181,0.210978836,0.457671958,0.265873016,0.085978836,-1.522273208,2.246415514,0.30485006,1.279427958,-0.0291772,0.054770502,0.643849206,0.51228214,0.338624339,2.126790181,2.320866648,-0.184048723,0.09755291,-1.524342592,0.623015873,0.06712963,-0.810821389,-0.069025072,1.868031459,1.877110354,0.044312169,0.362123981,0.957671958,0.886243386,0.263975516,-0.074092632,0.156729821,0.69973545,-0.373982426,0.37037037,0.948412698,0.80813737,0.025793651,0.345899471,-0.346977743,0.122685185,0.35978836,-0.251129288,0.541005291,0.208994709,0.48478836,0.717308298,0.677248677,-0.327455331,0.083994709,-0.380451916,-1.48965E-05,0.000150714,-0.000477392
9017,0,0,0,1,0,0,0,0,0,1.490889078,0.173941799,0.001984127,0.001984127,0.001984127,0.001984127,0.928571429,-0.381926945,-0.499493873,0.08672926,-0.558934793,1.410120362,1.466889972,1.842600077,0.035383598,0.321097884,0.024140212,0.10909786,-0.327457968,1,0.360449735,0.696815216,0.07473545,0.463293651,0.518748522,0.69973545,0.332010582,0.371031746,0.513565371,-1.218649599,-0.890324705,-0.246998143,0.124982864,-1.195221092,-0.723576848,0.211970899,0.501984127,0.26521164,0.085648148,-0.127337546,1.412837505,0.307175377,1.614254795,0.162533023,0.054044785,0.62202381,0.511618208,0.382936508,2.121360753,2.316354496,-0.712623177,0.454034392,-1.535169383,0.388558201,0.338293651,-0.165435564,-0.33692634,0.373364134,1.878755265,0.042328042,0.389736489,0.523148148,0.451058201,-0.518975814,0.125249175,0.299563287,0.412698413,-0.386591085,0.502645503,0.948743386,0.843670757,0.450396825,0.212301587,-0.37836374,0.104828042,0.340939153,-0.277773844,0.507936508,0.082010582,0.482804233,1.001027988,0.596560847,-0.372978741,0.094246032,-0.427354855,-0.005198945,0.000150198,-0.005661127
9018,0,0,0,1,0,-1,0,0,0,1.488666877,0.173611111,0.001653439,0.001653439,0.001653439,0.001653439,0.928902116,-0.382072655,-0.499702874,0.086217606,0.033994585,1.353731156,1.464678665,1.780709431,0.03505291,0.320767196,0.023809524,0.10896713,-0.327465711,0.966269841,0.360119048,0.669718282,0.078703704,0.462962963,0.519460878,0.698412698,0.334656085,0.376322751,0.518502225,-1.16421085,-0.906411939,-0.276172747,0.099436612,-1.178025037,-0.722865209,0.227843915,0.553571429,0.264550265,0.08531746,0.726674015,1.279774503,0.076349963,1.406625825,0.394692974,0.053318552,0.66765873,0.481435378,0.361772487,2.097474743,2.26610995,-0.184093839,0.454365079,-1.502851602,0.294973545,0.564814815,-0.365408452,-0.383105515,-0.4674,1.865954825,0.042989418,0.387148385,0.683862434,0.765873016,0.552907504,-0.142294777,1.006059591,0.556216931,-0.274567633,0.517526455,0.949074074,0.867245246,0.240079365,0.224867725,-0.332727011,0.102843915,0.271825397,-0.188325543,0.474867725,0.334656085,0.486772487,0.894501973,0.656746032,-0.282023556,0.090608466,-0.381337108,0.005929919,0.000150317,0.005467241
9019,0,0,0,1,0,-1,0,0,0,1.4864507,0.173280423,0.001322751,0.001322751,0.001322751,0.001322751,0.929232804,-0.382218389,-0.499911934,0.085705811,-0.416897271,1.406085479,1.462473981,1.83609887,0.034722222,0.320436508,0.023478836,0.113110008,-0.32746958,0.966600529,0.35218254,0.677509159,0.079365079,0.460648148,0.518795251,0.691137566,0.334656085,0.362433862,0.518823894,-1.227725336,-0.913318323,-0.17406042,0.134586352,-1.174017823,-0.721209575,0.251653439,0.562830688,0.249338624,0.084986772,-0.691687935,2.774524917,0.408795754,1.811322422,-0.002701426,0.052591801,0.719246032,0.512501084,0.365740741,2.114164379,2.309079275,0.344363644,0.741071429,-1.52850063,0.216600529,0.583333333,-0.549722614,-0.336858393,0.998553861,1.880995923,0.041666667,0.344700575,0.505291005,0.65542328,1.122981977,-0.142865527,0.984925973,0.521164021,-0.347037162,0.582010582,0.949404762,0.866352576,0.417328042,0.21494709,-0.413804633,0.125,0.294973545,-0.354067924,0.467592593,0.163359788,0.492724868,1.117638548,0.674603175,-0.445261317,0.106481481,-0.477634897,0.008172562,0.000150317,0.007709796
9020,0,0,0,1,0,-1,0,0,0,1.484240519,0.172949735,0.000992063,0.000992063,0.000992063,0.000992063,0.929563492,-0.382364148,-0.500121054,0.085193873,-0.836267004,1.44846071,1.460283205,1.880573744,0.034391534,0.32010582,0.023148148,0.111957483,-0.327473449,0.966931217,0.345899471,0.685290416,0.081349206,0.46031746,0.506635648,0.69973545,0.353835979,0.383928571,0.502570861,-1.2664291,-1.032589523,-0.203152486,0.277348019,-1.182926774,-0.721026775,0.256944444,0.5,0.248677249,0.084656085,-0.796496537,1.28377835,0.653786427,1.836404684,0.026578142,0.05186453,0.979497354,0.555284186,0.378306878,2.140170608,2.359822734,0.344102578,0.659722222,-1.545734616,0.954365079,0.339285714,-0.011127753,-0.336824602,1.010171282,1.892327811,0.044973545,0.264863389,0.516534392,0.28042328,0.178414262,0.123757871,1.191347714,0.330687831,-0.402843337,0.502314815,0.94973545,0.865489257,0.99537037,0.273148148,-0.475999197,0.142195767,0.19510582,-0.444626825,0.437830688,0.177910053,0.501322751,1.231340254,0.486111111,-0.562036293,0.08994709,-0.543367243,0.00952381,0.000149325,0.009062425
